iter	Passed	Remaining
0	0	96
1	1	89
2	2	85
3	4	112
4	5	105
5	6	103
6	7	98
7	8	94
8	8	90
9	9	87
10	10	85
11	11	83
12	12	81
13	13	80
14	13	78
15	14	76
16	15	75
17	16	73
18	16	72
19	19	77
20	20	76
21	21	75
22	22	74
23	22	72
24	23	71
25	24	69
26	25	68
27	26	67
28	26	65
29	27	64
30	28	63
31	29	62
32	29	60
33	30	59
34	31	58
35	32	57
36	34	59
37	36	58
38	36	57
39	40	60
40	41	60
41	42	58
42	43	57
43	44	56
44	45	55
45	45	53
46	46	52
47	49	53
48	50	52
49	51	51
50	51	49
51	52	48
52	53	47
53	54	46
54	54	44
55	55	43
56	56	42
57	57	41
58	57	40
59	58	39
60	59	37
61	60	36
62	60	35
63	61	34
64	64	34
65	65	33
66	66	32
67	66	31
68	67	30
69	68	29
70	69	28
71	70	27
72	71	26
73	71	25
74	72	24
75	73	23
76	74	22
77	74	21
78	75	20
79	76	19
80	78	18
81	79	17
82	80	16
83	81	15
84	82	14
85	83	13
86	83	12
87	84	11
88	85	10
89	86	9
90	87	8
91	88	7
92	88	6
93	89	5
94	90	4
95	91	3
96	93	2
97	94	1
98	95	0
99	96	0
