iter	Passed	Remaining
0	171	171083
1	173	86663
2	177	59151
3	180	44845
4	182	36241
5	184	30627
6	186	26514
7	188	23413
8	190	21002
9	192	19064
10	194	17479
11	196	16171
12	197	15013
13	198	13990
14	199	13097
15	200	12315
16	201	11624
17	201	11008
18	202	10458
19	203	9963
20	204	9516
21	204	9109
22	205	8736
23	206	8395
24	207	8080
25	207	7790
26	208	7520
27	209	7270
28	210	7048
29	211	6840
30	212	6640
31	213	6449
32	213	6269
33	214	6101
34	215	5942
35	216	5792
36	217	5649
37	217	5514
38	218	5386
39	219	5264
40	220	5148
41	220	5038
42	221	4933
43	222	4832
44	223	4737
45	223	4645
46	225	4573
47	226	4491
48	227	4409
49	228	4332
50	228	4257
51	229	4185
52	230	4116
53	231	4048
54	231	3984
55	232	3921
56	233	3861
57	234	3802
58	234	3747
59	235	3692
60	236	3640
61	237	3589
62	237	3539
63	239	3502
64	240	3460
65	241	3415
66	242	3372
67	242	3329
68	243	3288
69	244	3247
70	245	3208
71	245	3169
72	246	3132
73	247	3096
74	248	3061
75	248	3026
76	249	2993
77	250	2960
78	251	2928
79	251	2897
80	252	2866
81	253	2843
82	254	2812
83	255	2787
84	256	2759
85	257	2733
86	257	2707
87	258	2681
88	259	2655
89	260	2631
90	260	2606
91	261	2582
92	262	2559
93	263	2536
94	263	2514
95	264	2492
96	265	2471
97	266	2450
98	266	2429
99	268	2416
100	269	2401
101	270	2382
102	271	2363
103	272	2344
104	272	2326
105	273	2308
106	274	2290
107	275	2272
108	276	2256
109	276	2239
110	277	2223
111	278	2206
112	279	2190
113	279	2175
114	280	2159
115	281	2144
116	282	2128
117	283	2116
118	284	2104
119	285	2090
120	285	2076
121	286	2061
122	287	2047
123	287	2034
124	288	2020
125	289	2008
126	290	1994
127	290	1981
128	291	1969
129	292	1956
130	293	1944
131	293	1932
132	294	1920
133	295	1908
134	296	1897
135	296	1886
136	298	1881
137	300	1874
138	301	1867
139	302	1856
140	303	1846
141	303	1834
142	304	1823
143	305	1813
144	305	1803
145	306	1793
146	307	1783
147	308	1773
148	308	1763
149	309	1754
150	310	1744
151	311	1735
152	311	1726
153	313	1722
154	314	1715
155	315	1708
156	316	1700
157	317	1691
158	318	1684
159	319	1675
160	319	1666
161	320	1657
162	321	1649
163	322	1641
164	322	1633
165	323	1625
166	324	1617
167	325	1609
168	325	1602
169	327	1596
170	328	1591
171	329	1584
172	330	1577
173	330	1571
174	331	1564
175	332	1557
176	333	1551
177	334	1544
178	335	1538
179	336	1532
180	337	1525
181	338	1519
182	338	1513
183	339	1506
184	340	1499
185	341	1494
186	342	1489
187	343	1484
188	344	1477
189	345	1471
190	345	1465
191	346	1458
192	347	1452
193	348	1446
194	348	1440
195	349	1434
196	350	1428
197	351	1422
198	352	1417
199	352	1411
200	353	1405
201	354	1399
